model,year,train_matches,test_matches,log_loss,brier_score,ranked_probability_score,accuracy,top1_accuracy,feature_count
random_uniform,2002,0,64,1.0986122886681098,0.6666666666666669,0.23611111111111113,0.3125,0.3125,
random_uniform,2006,0,64,1.0986122886681098,0.6666666666666669,0.2387152777777778,0.25,0.25,
random_uniform,2010,0,64,1.0986122886681098,0.6666666666666669,0.23611111111111116,0.375,0.375,
random_uniform,2014,0,64,1.0986122886681098,0.6666666666666669,0.24392361111111116,0.34375,0.34375,
random_uniform,2018,0,64,1.0986122886681098,0.6666666666666669,0.24392361111111116,0.40625,0.40625,
random_uniform,2022,0,64,1.0986122886681098,0.6666666666666669,0.23871527777777782,0.328125,0.328125,
elo_probability,2002,0,64,1.0592813971736517,0.63669497257998,0.22454748628999002,0.484375,0.484375,
elo_probability,2006,0,64,0.9451137407396631,0.5548320529489821,0.18767852647449107,0.59375,0.59375,
elo_probability,2010,0,64,0.9804800242102302,0.581100122363193,0.1967500611815965,0.5625,0.5625,
elo_probability,2014,0,64,0.9569317062091656,0.5681389135914061,0.2024569567957031,0.59375,0.59375,
elo_probability,2018,0,64,0.9702008621571896,0.5789336159090738,0.20785430795453688,0.5625,0.5625,
elo_probability,2022,0,64,1.0403957039846548,0.6110620643202203,0.21579353216011013,0.5625,0.5625,
elo_poisson,2002,0,64,1.0733634864783959,0.6432692037071162,0.22863228171348504,0.484375,0.484375,
elo_poisson,2006,0,64,0.9007428720235031,0.5242805553967544,0.17369573318821113,0.59375,0.59375,
elo_poisson,2010,0,64,0.974039956873251,0.5753934928506412,0.19376074795047318,0.5625,0.5625,
elo_poisson,2014,0,64,0.9333607167852862,0.5520903074918521,0.19447005407403703,0.59375,0.59375,
elo_poisson,2018,0,64,0.9703398135601818,0.579592056058069,0.20711203339123135,0.5625,0.5625,
elo_poisson,2022,0,64,1.0596813333716786,0.6096053514187558,0.21826758587154954,0.5625,0.5625,
elo_logistic,2002,26436,64,1.0847199204794908,0.6506304888657867,0.23265793044178093,0.421875,0.421875,3.0
elo_logistic,2006,30037,64,0.8988985335878196,0.5232888509692456,0.1731467184991153,0.59375,0.59375,3.0
elo_logistic,2010,33864,64,1.0216221049229843,0.6063188222556162,0.2092561521293933,0.546875,0.546875,3.0
elo_logistic,2014,37861,64,0.9774037063684791,0.5792445743249197,0.2069613363298813,0.609375,0.609375,3.0
elo_logistic,2018,41639,64,1.0235625385815517,0.6146273269932893,0.22441575330885105,0.53125,0.53125,3.0
elo_logistic,2022,45700,64,1.063015540174568,0.6198301610569603,0.22370525578273412,0.453125,0.453125,3.0
fifa_logistic,2002,26436,64,1.0482871637046725,0.630047117033723,0.22162118966622624,0.4375,0.4375,2.0
fifa_logistic,2006,30037,64,0.9674324612207233,0.5728111762349634,0.196358445679932,0.546875,0.546875,2.0
fifa_logistic,2010,33864,64,1.0904756668953115,0.664065469323853,0.23588028823014875,0.40625,0.40625,2.0
fifa_logistic,2014,37861,64,0.9441012063955738,0.5551593928339744,0.19672618145353846,0.59375,0.59375,2.0
fifa_logistic,2018,41639,64,1.0185345099337075,0.6100530229790472,0.22429081782862043,0.484375,0.484375,2.0
fifa_logistic,2022,45700,64,1.0148335872932328,0.6046331314238544,0.21347276519754513,0.5,0.5,2.0
full_primary_model,2002,26436,64,1.0303850405162578,0.6123597245919421,0.21376281655283172,0.5,0.5,16.0
full_primary_model,2006,30037,64,0.8831901054764714,0.510821228238399,0.16760185072189493,0.640625,0.640625,16.0
full_primary_model,2010,33864,64,0.9841704619277907,0.5820189315110827,0.19691618643962144,0.546875,0.546875,16.0
full_primary_model,2014,37861,64,0.924697341987538,0.5482162356724898,0.19194851743622057,0.609375,0.609375,16.0
full_primary_model,2018,41639,64,0.9547545251101885,0.566612490239628,0.202255160857198,0.5625,0.5625,16.0
full_primary_model,2022,45700,64,1.058724535170339,0.6168211369601975,0.22150428424900498,0.5,0.5,16.0
