round,match,team_a_top,team_a_probability,team_b_top,team_b_probability,winner_top,winner_probability
round_of_32,73,South Korea,0.32466666666666666,Canada,0.364,Switzerland,0.189
round_of_32,74,Germany,0.5236666666666666,Scotland,0.19633333333333333,Germany,0.3586666666666667
round_of_32,75,Netherlands,0.479,Morocco,0.4033333333333333,Netherlands,0.26466666666666666
round_of_32,76,Brazil,0.49833333333333335,Japan,0.37233333333333335,Brazil,0.32466666666666666
round_of_32,77,France,0.5933333333333334,Sweden,0.20633333333333334,France,0.43933333333333335
round_of_32,78,Ecuador,0.4023333333333333,Norway,0.35833333333333334,Ecuador,0.23066666666666666
round_of_32,79,Mexico,0.5286666666666666,Ivory Coast,0.18166666666666667,Mexico,0.359
round_of_32,80,England,0.6253333333333333,Uzbekistan,0.2613333333333333,England,0.437
round_of_32,81,Turkey,0.2916666666666667,Bosnia and Herzegovina,0.24366666666666667,Turkey,0.18433333333333332
round_of_32,82,Belgium,0.5666666666666667,Czechia,0.218,Belgium,0.4096666666666667
round_of_32,83,Colombia,0.37433333333333335,Croatia,0.42433333333333334,Colombia,0.22866666666666666
round_of_32,84,Spain,0.8156666666666667,Austria,0.38966666666666666,Spain,0.6303333333333333
round_of_32,85,Switzerland,0.492,Egypt,0.21933333333333332,Switzerland,0.30566666666666664
round_of_32,86,Argentina,0.7496666666666667,Uruguay,0.553,Argentina,0.591
round_of_32,87,Portugal,0.507,Panama,0.2926666666666667,Portugal,0.36966666666666664
round_of_32,88,United States,0.2643333333333333,Iran,0.3973333333333333,Iran,0.21866666666666668
round_of_16,89,Switzerland,0.189,Netherlands,0.26466666666666666,Netherlands,0.16533333333333333
round_of_16,90,Germany,0.3586666666666667,France,0.43933333333333335,France,0.2846666666666667
round_of_16,91,Brazil,0.32466666666666666,Ecuador,0.23066666666666666,Brazil,0.19833333333333333
round_of_16,92,Mexico,0.359,England,0.437,England,0.28833333333333333
round_of_16,93,Colombia,0.22866666666666666,Spain,0.6303333333333333,Spain,0.4503333333333333
round_of_16,94,Turkey,0.18433333333333332,Belgium,0.4096666666666667,Belgium,0.2816666666666667
round_of_16,95,Argentina,0.591,Iran,0.21866666666666668,Argentina,0.474
round_of_16,96,Switzerland,0.30566666666666664,Portugal,0.36966666666666664,Portugal,0.242
quarterfinals,97,Netherlands,0.16533333333333333,France,0.2846666666666667,France,0.17766666666666667
quarterfinals,98,Spain,0.4503333333333333,Belgium,0.2816666666666667,Spain,0.3566666666666667
quarterfinals,99,Brazil,0.19833333333333333,England,0.28833333333333333,England,0.15666666666666668
quarterfinals,100,Argentina,0.474,Portugal,0.242,Argentina,0.36933333333333335
semifinals,101,France,0.17766666666666667,Spain,0.3566666666666667,Spain,0.25633333333333336
semifinals,102,England,0.15666666666666668,Argentina,0.36933333333333335,Argentina,0.252
final,104,Spain,0.25633333333333336,Argentina,0.252,Spain,0.20133333333333334
